Category	Unique_Reads	Duplicate_Reads
60126_FF_control	73467138	45655212
60126_FFPE_control	81089623	56450551
60127_FF_od	64626186	53536468
60127_FFPE_od	89331973	36872481
60460_FF_control	50926988	20079050
60460_FFPE_control	45073409	25781939
60461_FF_od	66747022	49854554
60461_FFPE_od	50808394	15077836
60462_FF_control	75781405	43878371
60462_FFPE_control	40371958	7522370
60636_FF_od	57683530	23750210
60636_FFPE_od	47703380	14307138
60679_FF_od	48205511	21634659
60679_FFPE_od	49367296	10918694
60749_FF_od	50305232	17179804
60749_FFPE_od	55816265	16705479
