-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	0
-100	-95	0
-95	-90	0
-90	-85	0
-85	-80	0
-80	-75	0
-75	-70	0
-70	-65	0
-65	-60	0
-60	-55	0
-55	-50	1899
-50	-45	3264
-45	-40	1456
-40	-35	74480
-35	-30	140806
-30	-25	101332
-25	-20	63492
-20	-15	58341
-15	-10	53448
-10	-5	44804
-5	0	38143
0	5	32402
5	10	30073
10	15	28182
15	20	25751
20	25	23894
25	30	21745
30	35	19734
35	40	18265
40	45	17177
45	50	15781
50	55	14579
55	60	13087
60	65	12638
65	70	11846
70	75	10910
75	80	10968
80	85	9560
85	90	8629
90	95	8005
95	100	7538
100	105	6934
105	110	6343
110	115	5727
115	120	5144
120	125	4816
125	130	4471
130	135	4143
135	140	3658
140	145	3298
145	150	2881
150	155	2675
155	160	2372
160	165	2064
165	170	1934
170	175	1739
175	180	1516
180	185	1358
185	190	1189
190	195	1135
195	200	999
200	205	859
205	210	744
210	215	632
215	220	611
220	225	526
225	230	483
230	235	478
235	240	461
240	245	389
245	250	303
