Category	CDS_Exons	5'UTR_Exons	3'UTR_Exons	Introns	TSS_up_1kb	TSS_up_5kb	TSS_up_10kb	TES_down_1kb	TES_down_5kb	TES_down_10kb	Other_intergenic
60126_FF_control	61301367	1076035	5516728	23892971	392554	991808	1457027	6301321	13451968	15277145	8809023
60126_FFPE_control	76108712	1390111	6522706	24587859	483924	1143584	1636743	7268898	15336959	17333280	9448777
60127_FF_od	60816991	1029710	4991858	23872478	360448	928737	1395052	5692187	11895426	13239718	9162247
60127_FFPE_od	27753531	374717	2908740	60159148	320449	1387358	2425870	3884579	8969350	10770614	14886218
60460_FF_control	45284876	1009123	3754892	7555766	283382	553343	730381	3846728	8186770	9096120	3977757
60460_FFPE_control	25538534	422875	2261572	23560659	192656	598585	964253	2318692	4899800	6286286	5951930
60461_FF_od	60525262	1496765	6511449	20305281	425044	941382	1388093	6648284	13112079	14158267	9755729
60461_FFPE_od	16074366	351018	1597689	29927427	193129	682765	1148951	1663189	3636670	4448201	7191685
60462_FF_control	59767706	1174573	5319482	23205830	445404	1236911	1926727	5870066	12604699	14395295	12151152
60462_FFPE_control	4179451	60379	356696	19862037	222557	1144672	2100798	591533	1788839	2773853	12500336
60636_FF_od	46703221	1159366	3679451	13407833	334308	687911	968399	3366897	6953415	7784858	5069209
60636_FFPE_od	15216485	264022	1437254	27602633	149060	576767	997971	1711979	3693162	4385409	6555488
60679_FF_od	45782901	1236962	3416451	8782677	298689	567105	758967	3301388	6832656	7500557	4036817
60679_FFPE_od	12227360	212998	1270494	28259967	141089	597041	1056729	1582150	3622800	4416367	6971772
60749_FF_od	26078454	562750	1488709	25300678	215898	632556	999959	1622693	3480928	4031986	6567724
60749_FFPE_od	27019457	577298	1383292	23457160	284278	732465	1138037	1449440	3139929	3714624	6287187
