Sample name,% Proper Pairs by Hisat2,% Proper Pairs by STAR
36808_FFPE_control,0.12,0.33
43323_FFPE_control,0.16,0.35
43917_FFPE_od,0.11,0.26
44331_FFPE_od,0.25,0.49
45726_FFPE_control,0.11,0.27
47198_FFPE_control,0.16,0.38
50276_FFPE_control,0.18,0.34
50315_FFPE_control,0.02,0.23
50416_FFPE_od,0.36,0.7
51234_FFPE_od,0.4,0.72
60126_FFPE_control,0.6,0.73
60126_FF_control,0.6,0.74
60127_FFPE_od,0.56,0.82
60127_FF_od,0.51,0.68
60177_FFPE_od,0.19,0.34
60459_FF_control,0.54,0.72
60460_FFPE_control,0.36,0.52
60460_FF_control,0.53,0.73
60461_FFPE_od,0.47,0.74
60461_FF_od,0.46,0.62
60462_FFPE_control,0.52,0.79
60462_FF_control,0.57,0.72
60516_FF_control,0.5,0.7
60629_FF_control,0.57,0.75
60631_FF_od,0.39,0.58
60636_FFPE_od,0.41,0.63
60636_FF_od,0.45,0.66
60679_FFPE_od,0.45,0.74
60679_FF_od,0.51,0.7
60749_FFPE_od,0.37,0.58
60749_FF_od,0.47,0.65
60792_FFPE_od,0.15,0.33
61478_FFPE_control,0.31,0.57
