GeneID	36808_FFPE_control	43323_FFPE_control	43917_FFPE_od	44331_FFPE_od	45726_FFPE_control	47198_FFPE_control	50276_FFPE_control	50315_FFPE_control	50416_FFPE_od	51234_FFPE_od	60126_FFPE_control	60126_FF_control	60127_FFPE_od	60127_FF_od	60177_FFPE_od	60459_FF_control	60460_FFPE_control	60460_FF_control	60461_FFPE_od	60461_FF_od	60462_FF_control	60462_FFPE_control	60516_FF_control	60629_FF_control	60631_FF_od	60636_FFPE_od	60636_FF_od	60679_FFPE_od	60679_FF_od	60749_FFPE_od	60749_FF_od	60792_FFPE_od	61478_FFPE_control
ENSCAFG00000039510	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	3	0	1	0	0	0	1	0	0	0	0	0	1	3	0	4	1
ENSCAFG00000029674	8	7	1	3	2	8	0	0	0	3	5	6	0	0	3	7	1	1	0	2	3	0	0	1	11	4	30	0	6	10	6	0	1
ENSCAFG00000041875	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0
ENSCAFG00000044010	2	4	6	1	0	0	0	0	1	6	12	9	10	5	3	7	2	5	6	1	7	6	5	9	10	7	7	3	6	10	5	2	0
ENSCAFG00000041333	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000035286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000010945	1	0	4	22	0	5	1	0	2	20	39	30	19	69	17	84	12	39	36	161	71	0	72	64	103	27	58	13	210	170	187	14	6
ENSCAFG00000028761	24	8	3	67	26	23	7	2	0	22	136	101	49	114	22	128	31	164	46	155	79	2	115	118	112	8	135	31	305	262	221	11	14
ENSCAFG00000010931	21	38	6	74	14	51	23	0	20	11	241	174	77	85	42	117	59	102	52	66	140	5	104	135	112	17	148	23	197	143	99	28	15
ENSCAFG00000048591	0	0	0	6	3	1	0	3	0	6	1	1	3	2	3	6	0	10	0	2	3	0	1	9	7	3	5	0	13	1	3	2	1
ENSCAFG00000010966	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	19	0	2	0	0	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000011034	2	0	4	0	0	0	0	2	1	1	1	0	4	2	0	2	3	0	0	4	5	5	1	0	3	2	26	0	2	2	2	0	1
ENSCAFG00000011041	1	5	1	20	13	3	4	0	1	9	17	27	26	26	7	14	11	7	12	58	39	4	101	21	57	27	150	13	19	26	34	0	8
ENSCAFG00000031295	0	0	0	6	2	0	5	0	0	0	15	8	8	5	6	6	0	1	22	62	13	2	3	0	13	30	24	3	12	5	2	19	4
ENSCAFG00000011047	0	0	0	2	0	2	0	0	0	0	3	1	3	0	5	1	0	0	3	6	4	1	2	2	1	9	4	1	3	0	5	2	1
ENSCAFG00000010987	334	335	315	695	426	469	352	67	344	1124	2300	1659	544	1202	568	2612	1031	4150	1443	7086	2547	93	3484	2642	7365	1095	5764	1458	9955	2861	2761	784	634
ENSCAFG00000024670	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0
ENSCAFG00000046335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000030459	2	0	0	2	0	0	0	0	0	0	7	5	0	6	1	2	0	0	1	4	5	0	6	10	6	0	3	0	3	3	5	0	0
ENSCAFG00000050050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000043085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSCAFG00000029462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSCAFG00000045690	0	0	5	3	0	0	5	0	1	12	2	3	18	4	1	10	2	0	17	0	28	2	13	14	0	4	23	8	8	0	0	2	5
ENSCAFG00000015291	62	19	6	58	20	46	18	0	8	27	184	133	41	125	29	188	73	244	40	171	186	12	170	182	193	47	223	46	389	144	118	61	19
ENSCAFG00000011067	15	4	4	37	6	17	12	5	6	33	141	113	75	122	46	143	51	106	50	245	162	7	223	115	199	52	221	30	145	127	101	10	29
ENSCAFG00000045622	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000011075	92	60	19	171	68	117	58	11	13	38	1561	1143	172	494	92	2214	194	2407	144	658	1636	12	1755	1870	792	83	2028	75	1123	545	488	53	70
ENSCAFG00000047942	94	78	2	40	55	158	88	5	9	9	1162	932	155	184	45	843	416	930	153	23	1337	42	847	712	7	35	990	51	59	11	8	12	192
ENSCAFG00000042706	0	0	0	0	0	3	0	0	0	0	6	2	2	4	0	2	0	3	0	1	11	2	7	2	0	2	18	0	2	0	0	0	0
ENSCAFG00000041426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000048188	17	30	27	85	45	30	17	3	4	56	189	146	92	73	57	108	150	197	81	194	132	7	378	108	95	106	605	29	173	89	66	24	35
ENSCAFG00000011091	2	1	4	31	10	16	3	0	0	5	14	31	4	16	24	22	25	38	17	25	58	0	149	24	32	23	247	8	52	27	26	23	6
ENSCAFG00000011113	12	3	13	53	13	21	9	3	20	62	151	102	80	153	35	127	50	120	111	579	112	11	131	119	220	59	200	93	682	273	279	15	20
