GeneID	Length	36808_FFPE_control	43323_FFPE_control	43917_FFPE_od	44331_FFPE_od	45726_FFPE_control	47198_FFPE_control	50276_FFPE_control	50315_FFPE_control	50416_FFPE_od	51234_FFPE_od	60126_FFPE_control	60126_FF_control	60127_FFPE_od	60127_FF_od	60177_FFPE_od	60459_FF_control	60460_FFPE_control	60460_FF_control	60461_FFPE_od	60461_FF_od	60462_FF_control	60462_FFPE_control	60516_FF_control	60629_FF_control	60631_FF_od	60636_FFPE_od	60636_FF_od	60679_FFPE_od	60679_FF_od	60749_FFPE_od	60749_FF_od	60792_FFPE_od	61478_FFPE_control
ENSCAFG00000039510	2336	0	1	0	3	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	2
ENSCAFG00000029674	2843	0	0	0	0	0	4	1	0	0	0	4	6	0	0	1	0	0	0	2	1	0	1	0	0	1	3	22	0	0	0	1	0	0
ENSCAFG00000041875	1536	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0
ENSCAFG00000044010	1569	3	4	6	1	0	0	0	0	0	4	9	4	7	4	3	4	2	2	6	1	6	7	3	7	9	7	7	4	2	11	4	3	0
ENSCAFG00000041333	363	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000035286	1417	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000010945	3297	4	1	6	22	1	5	0	0	3	23	38	27	19	65	21	78	11	45	39	158	69	0	65	60	105	22	57	15	210	163	179	8	5
ENSCAFG00000028761	3792	23	12	5	63	24	17	10	0	2	17	139	99	49	111	18	133	28	153	43	143	81	2	108	117	108	10	127	31	299	264	220	5	13
ENSCAFG00000010931	3193	30	36	11	91	24	55	22	3	19	16	239	179	77	83	40	115	58	104	53	66	145	7	108	138	123	20	149	26	194	153	100	31	17
ENSCAFG00000048591	2306	0	0	0	7	6	5	1	3	0	5	1	1	3	2	3	6	0	10	1	1	3	0	1	9	8	7	5	0	14	1	3	4	1
ENSCAFG00000010966	1737	4	0	0	0	1	0	2	0	0	1	0	0	0	0	2	1	3	0	17	0	2	0	0	1	0	0	1	0	0	2	0	2	0
ENSCAFG00000011034	3056	12	1	11	2	7	4	3	2	0	0	2	0	4	2	0	2	4	0	0	2	5	7	1	0	4	1	28	1	2	2	2	4	2
ENSCAFG00000011041	1929	1	6	2	22	17	3	8	0	2	8	19	26	25	26	8	13	15	9	14	59	41	4	102	21	61	28	151	14	20	32	34	0	8
ENSCAFG00000031295	2705	1	2	0	11	4	4	8	2	0	0	18	6	9	5	9	6	0	1	24	54	9	3	3	0	17	27	26	3	13	6	2	26	4
ENSCAFG00000011047	2326	2	0	0	2	0	2	0	0	0	0	3	2	3	0	10	3	0	1	3	6	4	2	2	3	2	8	5	0	4	1	4	3	1
ENSCAFG00000010987	1236	388	385	403	727	477	534	387	61	380	1125	2414	1752	600	1286	614	2586	1088	4188	1470	6704	2565	102	3556	2626	7561	1142	5789	1513	9784	2955	2745	882	674
ENSCAFG00000024670	1029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	3	0	0	2
ENSCAFG00000046335	1146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000030459	2116	2	0	0	3	0	0	0	0	0	0	4	5	1	6	1	1	0	0	1	4	3	0	6	8	4	0	3	0	2	2	4	0	0
ENSCAFG00000050050	2098	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0
ENSCAFG00000043085	1459	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
ENSCAFG00000029462	1245	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
ENSCAFG00000045690	1149	2	0	5	2	0	0	6	0	1	12	2	4	18	5	1	15	2	0	15	0	29	3	14	14	0	3	23	14	11	0	0	3	5
ENSCAFG00000015291	2368	66	21	16	63	32	56	24	1	8	29	183	125	38	116	28	175	70	250	44	145	169	14	166	177	202	44	224	50	378	152	113	61	16
ENSCAFG00000011067	3149	19	8	13	35	10	19	16	13	9	30	136	99	65	108	51	130	46	101	53	223	145	4	200	100	193	52	203	27	133	118	91	7	31
ENSCAFG00000045622	1885	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	4	0	0	0	1	0	0	0	0	0	3	2
ENSCAFG00000011075	2094	111	69	23	177	76	118	63	12	14	43	1528	1115	171	480	96	2179	196	2410	150	644	1584	11	1744	1843	783	88	2001	76	1093	559	485	44	72
ENSCAFG00000047942	1736	107	85	2	43	79	143	87	6	9	9	1225	953	161	193	45	855	413	944	157	28	1333	44	863	725	6	39	1007	54	61	10	8	33	186
ENSCAFG00000042706	1414	6	0	4	0	6	4	5	0	1	0	6	1	2	4	0	4	0	5	0	1	13	3	7	2	0	2	17	0	2	1	0	4	0
ENSCAFG00000041426	1029	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000048188	508	37	36	39	95	62	44	21	10	5	58	177	134	101	57	66	93	145	187	86	153	118	12	331	93	90	103	517	30	141	92	53	35	43
ENSCAFG00000011091	795	8	5	8	39	11	19	4	0	1	6	21	32	6	19	26	25	27	43	17	24	59	0	164	25	39	28	264	9	62	32	27	25	5
ENSCAFG00000011113	2280	22	8	17	59	25	29	10	3	29	63	152	103	87	147	38	127	54	128	113	570	110	12	136	123	238	63	203	97	685	286	284	29	21
ENSCAFG00000024515	2629	5	10	4	27	10	46	9	0	3	14	177	141	67	142	18	174	51	255	32	101	146	8	85	176	86	16	89	49	297	54	39	10	29
ENSCAFG00000011163	2904	0	0	0	0	2	0	0	0	1	2	1	1	5	0	0	0	0	1	1	0	8	11	0	0	0	3	4	1	5	0	0	0	0
ENSCAFG00000011180	9369	48	55	97	79	75	50	84	59	40	19	313	320	121	113	190	350	185	280	124	148	155	46	369	330	1174	144	611	88	282	343	375	116	110
ENSCAFG00000038163	2213	0	1	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	3	6	10	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000011187	1228	10	6	8	27	11	1	12	1	4	19	57	57	32	72	16	31	11	49	50	302	63	14	183	36	202	24	193	21	97	95	112	20	19
ENSCAFG00000048232	2310	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	4	1	0	0	0	1	0	0	0	0	0	0
ENSCAFG00000036854	1647	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	3	3	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000011192	399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000048404	1249	0	2	2	3	0	0	0	0	2	3	0	1	3	0	1	0	1	0	4	0	1	4	0	0	0	3	0	1	0	0	3	0	0
ENSCAFG00000028202	121	0	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSCAFG00000039620	420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000028745	2149	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	6	15	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000033198	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000044421	1781	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSCAFG00000038675	1316	4	3	0	0	2	1	2	0	0	0	61	32	2	1	0	3	5	35	1	1	31	9	5	12	0	0	0	1	0	0	0	4	0
ENSCAFG00000043158	1479	0	0	0	0	0	0	0	0	0	0	6	2	1	0	0	1	0	0	0	1	7	3	0	1	2	0	0	0	0	0	0	0	0
ENSCAFG00000043916	662	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0
ENSCAFG00000034356	3248	4	9	0	2	0	2	6	0	1	0	114	81	35	31	2	55	12	47	9	10	66	8	16	13	0	10	20	18	38	1	0	0	6
ENSCAFG00000043165	1689	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	4	8	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000049986	1472	14	21	12	32	5	42	22	4	29	72	51	34	30	54	23	25	59	51	53	168	43	8	21	28	59	37	43	68	116	47	52	60	56
ENSCAFG00000011251	4139	454	429	347	555	171	694	508	23	260	1489	3125	2155	1023	1236	507	2779	1766	3685	2415	9442	2077	82	1779	2424	4475	684	2123	1581	7617	2553	2563	486	637
ENSCAFG00000045981	2384	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	1	7	11	0	0	1	0	0	0	0	0	0	0	0
ENSCAFG00000034268	2831	1	2	0	2	6	4	0	0	1	8	26	41	33	22	2	37	3	38	19	104	39	13	15	19	17	3	38	8	20	70	62	0	11
ENSCAFG00000049309	1638	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	5	1	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000011278	969	55	36	25	118	32	62	34	3	17	237	310	219	128	256	35	425	96	492	240	1346	289	8	334	303	843	138	452	132	698	220	363	14	73
ENSCAFG00000011287	2898	34	10	17	21	48	14	12	0	5	21	103	83	35	54	11	191	68	219	40	108	110	8	112	141	60	13	130	21	175	56	64	7	16
ENSCAFG00000041599	174	2	0	0	0	0	4	0	2	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	2	0	1	0	1	0
ENSCAFG00000042137	1074	2	0	0	0	0	4	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	4	0
ENSCAFG00000046207	1442	8	4	1	4	26	38	53	45	1	48	1	0	1	1	15	0	11	0	12	2	4	1	0	0	0	3	0	10	0	2	4	61	80
ENSCAFG00000029064	107	38	25	16	23	40	15	8	1	15	21	2	0	7	2	11	0	3	0	3	0	1	8	1	0	0	8	2	11	0	3	1	12	9
ENSCAFG00000027094	154	5	2	2	7	0	3	1	0	11	5	0	1	5	0	3	0	2	0	0	0	0	1	0	0	1	1	1	4	0	1	0	8	4
ENSCAFG00000028605	1897	12	13	7	36	21	3	3	0	19	19	92	82	63	62	5	42	21	64	17	76	68	11	78	37	91	26	93	34	106	48	41	4	10
ENSCAFG00000047173	255	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000047780	1026	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	8	0	0	0	0	0	0	0	0	0	3	0
ENSCAFG00000011318	3925	205	150	194	368	572	254	157	17	65	561	969	790	441	889	162	907	274	721	998	3635	546	39	921	1128	2702	850	2147	665	4333	891	790	319	178
ENSCAFG00000011323	336	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	1	1	0	0	1	1	3	1	1	0	0	0	1
ENSCAFG00000011329	756	2	2	0	0	0	0	0	0	3	4	6	13	2	4	0	13	7	5	2	7	16	6	4	7	2	3	12	2	5	8	7	0	1
ENSCAFG00000039144	1372	14	19	3	22	9	35	11	0	0	4	201	151	52	62	1	95	46	90	31	43	139	9	87	110	8	7	105	13	68	11	13	1	12
ENSCAFG00000039487	1486	21	6	3	12	4	6	6	4	1	2	85	86	20	16	0	37	18	50	9	17	78	4	23	58	2	4	46	4	38	5	6	6	8
ENSCAFG00000050065	1938	0	6	2	1	0	1	1	0	1	2	2	3	13	4	0	0	0	0	2	6	5	9	2	1	1	2	1	2	0	0	2	2	0
ENSCAFG00000043425	3041	2	2	0	1	0	0	4	0	0	0	0	0	3	3	0	0	2	0	0	3	4	4	0	0	0	0	1	0	2	0	0	2	0
ENSCAFG00000047052	1887	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000044327	1129	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	5	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000011362	6093	463	569	381	876	731	864	515	58	401	982	3397	2963	1469	3009	616	2109	1125	2053	1283	7105	3623	147	2027	1981	4685	1068	4095	1127	4312	2763	1974	1065	1078
ENSCAFG00000044896	1437	30	27	9	58	29	33	38	1	7	23	301	216	104	140	14	444	115	445	68	214	340	15	182	434	139	37	314	102	499	68	70	18	34
ENSCAFG00000011388	6986	370	365	142	577	226	382	315	27	228	1680	4483	3771	1207	1814	473	4395	1298	4496	1259	9294	3182	69	1843	2996	3548	654	2653	693	4647	2543	2559	454	327
ENSCAFG00000011393	1237	0	8	2	11	0	14	12	0	15	104	125	98	77	70	11	75	26	52	26	89	138	5	36	46	127	56	107	76	234	73	49	5	10
ENSCAFG00000011461	4162	91	92	82	171	71	73	47	5	170	129	500	424	268	523	270	335	71	290	282	1292	370	22	300	247	1183	254	803	257	1533	980	689	134	136
ENSCAFG00000011537	2433	415	305	115	485	210	385	260	22	110	226	2559	2177	613	1883	455	3599	1179	4301	606	2622	2208	44	1903	2713	2684	396	2283	262	2260	1031	1104	191	301
ENSCAFG00000031858	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000042879	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSCAFG00000011570	3006	20	25	11	24	7	27	18	0	7	17	211	180	80	147	13	362	84	385	66	237	225	15	113	268	164	26	148	50	363	71	71	13	34
ENSCAFG00000048180	3828	0	0	0	0	2	0	0	0	0	0	0	0	3	3	0	0	1	0	1	2	1	2	0	1	0	0	2	1	0	2	1	0	0
ENSCAFG00000048397	748	0	1	1	0	2	0	0	0	5	0	5	17	10	16	2	4	1	8	2	15	11	3	6	9	7	2	5	1	9	2	7	0	2
ENSCAFG00000011591	3699	68	45	21	93	57	98	44	11	48	90	921	692	225	842	71	507	220	626	137	1036	799	38	446	435	424	104	476	90	528	197	248	25	114
ENSCAFG00000011595	2382	74	133	36	198	28	114	58	4	6	12	450	317	191	254	53	384	126	503	84	42	333	10	289	260	60	43	370	109	672	60	61	31	108
ENSCAFG00000011602	844	1	0	0	8	1	15	0	0	0	3	0	1	2	1	0	3	1	0	1	0	2	4	0	0	0	0	0	7	0	0	0	0	3
ENSCAFG00000011607	882	1	0	1	8	0	0	0	0	0	0	62	69	6	12	0	11	0	8	0	3	12	3	44	74	10	0	5	2	13	0	0	0	0
ENSCAFG00000046413	114	87	10	16	26	10	23	14	5	20	33	3	5	27	2	17	0	4	2	8	0	3	49	2	0	0	12	1	12	0	7	0	24	15
